Perro: Hund
Gato: Katze
Elefante: Elefant
León: Löwe
Tigre: Tiger
Oso: Bär
Conejo: Hase
Zorro: Fuchs
Caballo: Pferd
Vaca: Kuh
Cerdo: Schwein
Oveja: Schaf
Cabra: Ziege
Mono: Affe
Gorila: Gorilla
Rana: Frosch
Serpiente: Schlange
Cocodrilo: Krokodil
Tiburón: Hai
Ballena: Wal
Delfín: Delphin
Pez: Fisch
Pulpo: Tintenfisch
Cangrejo: Krabbe
Langosta: Hummer
Mosquito: Moskito
Abeja: Biene
Araña: Spinne
Escorpión: Skorpion
Ciervo: Hirsch
Lobo: Wolf
Zorro: Fuchs
Hurón: Frettchen
Armadillo: Gürteltier
Búho: Eule
Águila: Adler
Pingüino: Pinguin
Flamenco: Flamingo
Colibrí: Kolibri
Mariposa: Schmetterling
